TIMESTAMP,GRUP,OBJECTE,MP-ÍTEM1,MP-ÍTEM2,MP-ÍTEM3,MP-ÍTEM4,MP-COMENTARI,TUTORIA1-ÍTEM1,TUTORIA1-ÍTEM2,TUTORIA1-ÍTEM3,TUTORIA1-COMENTARI,TUTORIA2-ÍTEM1,TUTORIA2-ÍTEM2,TUTORIA2-ÍTEM3,TUTORIA2-ÍTEM4,TUTORIA2-COMENTARI,CENTRE-ÍTEM1,CENTRE-ÍTEM2,CENTRE-ÍTEM3,CENTRE-ÍTEM4,CENTRE-ÍTEM5,CENTRE-ÍTEM6,CENTRE-COMENTARI
4/9/2019 19:38:41,ASIX2,El centre,,,,,,,,,,,,,,,9,10,10,7,1,9,"No hay excrusiones a ningún lado y el año pasado que fuimos al marenostrum no pudimos ni verlo porque estaba en obras. Es algo mejorable, los domingos suele caerse la red haciendo imposible entrar al moodle. Habría que limpiar los baños, para las 2 veces que fui estaban sucios. "
4/9/2019 19:38:44,ASIX2,MP06 - Administració de sistemes operatius,10,10,8,10,,,,,,,,,,,,,,,,,
4/9/2019 19:39:15,ASIX2,Tutoria 2n curs,,,,,,,,,,1,1,1,1,No hacemos tutoria en clase.,,,,,,,
4/9/2019 19:39:21,ASIX2,MP08 - Serveis de xarxa i internet,3,5,8,5,"Lo que es la asignatura bien, distintos servidores y como crearlos. Pero para hacerlo he tenido que consultar a Google cada día. Las clases teóricas eran aburridas y bueno, las dudas al crear servidores muy pocas veces las solucionaba el profesor, muy estricto él por cierto.",,,,,,,,,,,,,,,,
4/9/2019 19:40:15,ASIX2,MP09 -  Implantació d'aplicacions web,3,8,10,5,"Nos va dejando trabajar, pero suele llegar tarde.",,,,,,,,,,,,,,,,
4/9/2019 19:40:50,ASIX2,MP07 - Planificació i administració de xarxes,10,10,8,10,,,,,,,,,,,,,,,,,
4/9/2019 19:41:49,ASIX2,MP08 - Serveis de xarxa i internet,1,1,2,3,"Hace publicidad subliminal de su pagina web (www.pauperis.com), su manera de evaluar la veo absurda, coge 3 practicas de toda la UF y las evalúa, las demás ni se las mira, no tiene sentido, nos trata como críos y si viene enfadado, suerte ese día en clase que no se puede ni toser",,,,,,,,,,,,,,,,
4/9/2019 19:42:44,ASIX2,MP09 -  Implantació d'aplicacions web,10,10,10,10,"Dani es mi ídolo. Cambio radical en comparación con el año pasado, este año un grande. La verdad que ha sido flexible con algunas prácticas y sus entregas y siempre trae su google docs bien chulo con el gif al final. Dani tt, te quiero.",,,,,,,,,,,,,,,,
4/9/2019 19:43:38,ASIX2,MP11 - Seguretat i alta disponibilitat,8,8,8,8,"La asignatura es muy divertida, Oscar como siempre muy bien.",,,,,,,,,,,,,,,,
4/9/2019 19:43:53,ASIX2,MP10 - Administració de sistemes gestors de bases de dades,1,4,1,1,"Al principio de curso acordamos con el, hacer trabajos mas difíciles y no hacer exámenes, luego opto por dejar los trabajos muy difíciles y tenernos que tirar todo el fin de semana haciéndolos pensando que solo tenemos su asignatura, luego le pides ayuda y no te ayuda.",,,,,,,,,,,,,,,,
4/9/2019 19:45:17,ASIX2,El centre,,,,,,,,,,,,,,,10,3,7,1,7,7,Arreglar los lavabos y poner papel que siempre están rotos. 
4/9/2019 19:45:33,ASIX2,MP09 -  Implantació d'aplicacions web,10,10,10,10,"Se despista un poco, pero ayuda con todo lo que puede y es muy buen profe, aparte sabe conectar con el alumno y hace que sus clases sean mas divertidas y no de esas clases que preferías no ir nunca a clase.",,,,,,,,,,,,,,,,
4/9/2019 19:46:55,ASIX2,El centre,,,,,,,,,,,,,,,4,1,5,1,1,1,"La verdad, después de 5 años en este centro no es que lo vaya a añorar. Venia aquí por comodidad y por no cambiar de compañeros.Lo mejor del centro es el parking, caben muchos coches, aunque la habéis cagado con las vallas esas.Por lo demás que os vaya bien, ya nos veremos, o no."
4/9/2019 19:49:36,ASIX2,Tutoria 2n curs,,,,,,,,,,1,1,1,1,"¿En serio, esto es una asignatura?",,,,,,,
4/9/2019 19:50:32,ASIX2,Tutoria 2n curs,,,,,,,,,,1,1,1,1,Ha existido la tutoría? no la puedo evaluar si no ha existido.,,,,,,,
4/9/2019 19:54:25,ASIX2,El centre,,,,,,,,,,,,,,,10,1,1,5,1,1,"Mas que un colegio parece una cárcel, no deberían de estar cerrados los lavabos por la tarde y si hay uno abierto no hay papel y es necesario. Los de la tarde somos la mierda por así decirlo y encima de ser la mierda sin papel estamos. Menos mal que es mi ultimo año, suerte."
4/9/2019 22:04:57,AF1,MP01 - Comunicació i atenció al client,3,6,10,1,,,,,,,,,,,,,,,,,
4/9/2019 22:05:37,AF1,MP03 - Procés integral de l'activitat comercial,8,10,10,10,,,,,,,,,,,,,,,,,
4/9/2019 22:07:03,AF1,MP05 - Ofimàtica i procés de la informació,10,10,10,8,,,,,,,,,,,,,,,,,
4/9/2019 22:07:32,AF1,MP06 - Anglès,1,10,10,1,,,,,,,,,,,,,,,,,
4/9/2019 22:08:02,AF1,MP07 - Gestió de recursos humans,1,7,10,1,,,,,,,,,,,,,,,,,
4/9/2019 22:08:32,AF1,MP10 - Gestió logística i comercial,10,10,10,10,,,,,,,,,,,,,,,,,
4/9/2019 22:09:09,AF1,Tutoria 1r curs,,,,,,10,10,10,,,,,,,,,,,,,
4/9/2019 22:10:04,AF1,El centre,,,,,,,,,,,,,,,7,7,5,5,5,9,
4/11/2019 11:48:28,SMX1A,MP02 - Sistemes operatius monolloc,1,1,3,7,,,,,,,,,,,,,,,,,
4/11/2019 11:48:58,SMX1A,MP01 - Muntatge i manteniment d'equips,7,7,9,6,,,,,,,,,,,,,,,,,
4/11/2019 11:48:59,SMX1A,MP01 - Muntatge i manteniment d'equips,9,10,10,10,,,,,,,,,,,,,,,,,
4/11/2019 11:49:02,SMX1A,MP01 - Muntatge i manteniment d'equips,7,6,7,8,,,,,,,,,,,,,,,,,
4/11/2019 11:49:13,SMX2A,MP06 - Seguretat informàtica,9,8,8,9,Tot ok,,,,,,,,,,,,,,,,
4/11/2019 11:49:15,SMX1A,MP01 - Muntatge i manteniment d'equips,7,4,8,6,,,,,,,,,,,,,,,,,
4/11/2019 11:49:15,SMX1A,MP01 - Muntatge i manteniment d'equips,4,5,7,3,,,,,,,,,,,,,,,,,
4/11/2019 11:49:17,SMX1A,MP03 - Aplicacions ofimàtiques,10,10,10,9,,,,,,,,,,,,,,,,,
4/11/2019 11:49:24,SMX1A,MP03 - Aplicacions ofimàtiques,8,10,7,9,,,,,,,,,,,,,,,,,
4/11/2019 11:49:56,SMX1A,MP01 - Muntatge i manteniment d'equips,7,6,8,6,,,,,,,,,,,,,,,,,
4/11/2019 11:49:25,SMX2A,MP04 - Sistemes operatius en xarxa,7,7,9,6,,,,,,,,,,,,,,,,,
4/11/2019 11:49:26,SMX1A,MP01 - Muntatge i manteniment d'equips,7,10,8,10,,,,,,,,,,,,,,,,,
4/11/2019 11:49:30,SMX1A,MP01 - Muntatge i manteniment d'equips,6,5,5,6,,,,,,,,,,,,,,,,,
4/11/2019 11:49:34,SMX1A,MP02 - Sistemes operatius monolloc,5,5,6,5,,,,,,,,,,,,,,,,,
4/11/2019 11:49:35,SMX1A,MP01 - Muntatge i manteniment d'equips,4,5,7,8,Prefereixo l'anterior professor (Jorge Monserrat),,,,,,,,,,,,,,,,
4/11/2019 11:49:36,SMX1A,MP03 - Aplicacions ofimàtiques,8,8,8,9,,,,,,,,,,,,,,,,,
